freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-7.132504907000000571e+01,-7.463495307200000184e+01,-7.680906671900000049e+01,-7.311188655200000142e+01,-6.539924999400000161e+01
3.001001001000000099e-02,-8.376786466800000142e+01,-8.151813697400000081e+01,-8.205381935399999804e+01,-7.720912272900000062e+01,-8.115149620500000083e+01
5.002002002000000003e-02,-7.763799289600000009e+01,-7.937569346200000098e+01,-9.355526239099999941e+01,-8.383506623600000296e+01,-8.328254576400000531e+01
7.003003002999999560e-02,-7.492546328699999947e+01,-7.976264839899999970e+01,-7.738032201800000109e+01,-8.361451623499999641e+01,-8.731417022700000530e+01
9.004004004000000505e-02,-7.455871627400000534e+01,-8.010505120000000545e+01,-8.812651800400000468e+01,-9.196101920099999916e+01,-8.254495085099999585e+01
1.100500500500000006e-01,-8.354307732700000599e+01,-7.993999054299999329e+01,-7.717151378799999861e+01,-7.884478670199999328e+01,-8.362718511500000318e+01
1.300600600600000101e-01,-7.812935028900000134e+01,-7.544214801399999715e+01,-8.676203965599999890e+01,-9.141225959199999807e+01,-8.364362102100000129e+01
1.500700700700000056e-01,-7.502088566099999412e+01,-8.978096496599999909e+01,-8.049772398800000417e+01,-8.768594711999999447e+01,-1.030332656799999995e+02
1.700800800800000012e-01,-7.911295572900000650e+01,-8.348932243299999811e+01,-9.100030391599999291e+01,-8.591587287699999820e+01,-7.572980284000000495e+01
1.900900900899999968e-01,-7.382486732799999629e+01,-7.736291584900000373e+01,-7.846019901600000424e+01,-7.469593084299999930e+01,-8.182456219799999531e+01
2.101001000999999924e-01,-8.001593514600000390e+01,-8.655603177199999720e+01,-9.584296065200000214e+01,-8.312489270599999713e+01,-7.738160695700000247e+01
2.301101101100000157e-01,-8.159063353599999857e+01,-7.234384795299999382e+01,-8.645668089400000156e+01,-7.408818238000000633e+01,-8.038283848300000045e+01
2.501201201200000113e-01,-8.920815612699999519e+01,-9.064938773999999455e+01,-8.042290943000000425e+01,-7.945408478299999899e+01,-7.916070179000000451e+01
2.701301301299999791e-01,-7.632041011399999775e+01,-8.303405682700000057e+01,-7.875968172899999331e+01,-8.388380736300000251e+01,-8.640568463699999313e+01
