freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-7.643690045200000327e+01,-6.629659243999999774e+01,-8.553793476600000645e+01,-6.852939026299999625e+01,-7.269305323599999724e+01
3.001001001000000099e-02,-7.870870903099999794e+01,-7.459098645400000294e+01,-8.103740930700000433e+01,-7.475526867899999672e+01,-8.108020293600000628e+01
5.002002002000000003e-02,-7.912688075600000559e+01,-8.041701860300000249e+01,-9.066157911800000591e+01,-8.218984794899999713e+01,-8.194141672899999662e+01
7.003003002999999560e-02,-7.981662333600000636e+01,-8.147992067699999552e+01,-8.074773296200000061e+01,-8.703906319899999744e+01,-1.008317275899999999e+02
9.004004004000000505e-02,-8.328984344600000611e+01,-8.588871759200000611e+01,-8.173672019200000705e+01,-8.438201329400000361e+01,-8.526901578599999709e+01
1.100500500500000006e-01,-7.763599836000000209e+01,-8.527039400399999636e+01,-7.678866196699999591e+01,-8.393825069300000052e+01,-7.277066390599999579e+01
1.300600600600000101e-01,-7.710874032499999942e+01,-9.023483630399999811e+01,-7.731122521099999290e+01,-8.823897320199999683e+01,-8.381281558899999595e+01
1.500700700700000056e-01,-8.258684519199999841e+01,-8.474202144400000236e+01,-7.520389860999999598e+01,-8.002922916699999689e+01,-8.013494461800000579e+01
1.700800800800000012e-01,-8.207381637999999668e+01,-8.422884398700000474e+01,-7.850732126600000527e+01,-7.932303245699999650e+01,-9.266118667899999650e+01
1.900900900899999968e-01,-7.254654743700000097e+01,-8.398955551299999911e+01,-7.718175763399999312e+01,-7.732434947800000202e+01,-8.643300377399999945e+01
2.101001000999999924e-01,-8.323175072600000135e+01,-8.154123545000000206e+01,-7.735240956399999845e+01,-8.093059175899999502e+01,-8.629071201399999325e+01
2.301101101100000157e-01,-7.394750540100000080e+01,-8.661773936100000526e+01,-7.903045793699999422e+01,-8.737900813000000255e+01,-8.146927174399999672e+01
2.501201201200000113e-01,-7.615062244799999291e+01,-7.998766364399999418e+01,-7.909754786400000626e+01,-7.422204605999999671e+01,-8.082878729700000520e+01
2.701301301299999791e-01,-7.760025040099999671e+01,-7.298118580700000280e+01,-8.209348836799999560e+01,-7.990292580400000588e+01,-9.719645138500000314e+01
2.901401401400000024e-01,-8.065382204399999466e+01,-9.040796316099999785e+01,-8.089692962700000578e+01,-8.441101895799999966e+01,-8.113364013000000341e+01
3.101501501499999702e-01,-7.326433101799999292e+01,-8.272976432000000102e+01,-7.955623104100000376e+01,-7.806560236800000041e+01,-7.668563276199999734e+01
3.301601601600000491e-01,-7.661147398900000383e+01,-8.053719712299999856e+01,-8.045090685300000644e+01,-8.332676982700000679e+01,-7.617346023800000410e+01
