freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-6.958711550600000351e+01,-7.577897270500000104e+01,-7.403564414699999929e+01,-7.461585151900000312e+01,-7.523237448199999733e+01
3.001001001000000099e-02,-7.581355201099999874e+01,-8.231856262200000174e+01,-7.514531344600000295e+01,-7.620982412799999395e+01,-8.525017629699999588e+01
5.002002002000000003e-02,-7.887445699699999579e+01,-8.467118437499999573e+01,-7.946883783600000584e+01,-1.012796038200000055e+02,-8.441553423000000578e+01
7.003003002999999560e-02,-8.890198377400000140e+01,-7.627540453199999604e+01,-7.279053830399999470e+01,-9.278630835799999943e+01,-8.451741438499999504e+01
9.004004004000000505e-02,-9.075232453499999963e+01,-8.107403068399999313e+01,-7.874946640800000353e+01,-8.910276971999999773e+01,-8.934338245499999687e+01
1.100500500500000006e-01,-8.381038287799999864e+01,-7.598576129100000287e+01,-8.431226868999999624e+01,-8.015713737400000127e+01,-8.826279380600000479e+01
1.300600600600000101e-01,-8.306230818999999599e+01,-7.519189264300000275e+01,-8.356068577099999573e+01,-8.199230128300000331e+01,-8.447184140500000638e+01
1.500700700700000056e-01,-7.587930229699999529e+01,-8.203799124900000095e+01,-8.110218014599999492e+01,-8.427309524000000351e+01,-9.150414616700000181e+01
1.700800800800000012e-01,-8.808216132399999765e+01,-8.560283455100000083e+01,-8.298389403699999889e+01,-8.619932707499999935e+01,-8.674010434400000236e+01
1.900900900899999968e-01,-8.517525427299999308e+01,-7.398096362100000078e+01,-8.027380149100000040e+01,-7.859752586899999471e+01,-8.032224675499999478e+01
2.101001000999999924e-01,-8.600755051500000548e+01,-7.772994475500000533e+01,-7.902841307699999618e+01,-8.950737267399999553e+01,-8.562894882099999450e+01
2.301101101100000157e-01,-7.895309909499999890e+01,-8.320954688499999463e+01,-8.292852591999999845e+01,-9.164309273700000347e+01,-8.041835613000000649e+01
2.501201201200000113e-01,-7.587486762199999646e+01,-8.206900007500000527e+01,-7.687985495799999569e+01,-8.358032396699999822e+01,-8.161591949799999668e+01
2.701301301299999791e-01,-8.207276265599999476e+01,-8.327223590600000591e+01,-8.811245352999999625e+01,-7.842907518799999878e+01,-8.160173674799999333e+01
2.901401401400000024e-01,-7.286824460900000133e+01,-8.927829178099999297e+01,-7.709404519500000674e+01,-8.799297281200000498e+01,-8.663331670600000223e+01
3.101501501499999702e-01,-7.972556917400000032e+01,-7.751041409799999826e+01,-7.130803046500000164e+01,-8.508589602200000002e+01,-8.028198405499999524e+01
3.301601601600000491e-01,-7.658671307900000613e+01,-8.121858719600000143e+01,-7.772959148099999993e+01,-6.999663606900000445e+01,-8.249942713699999786e+01
3.501701701700000169e-01,-8.159198935400000607e+01,-9.279780282699999816e+01,-8.169756564300000434e+01,-7.641552295200000344e+01,-7.982668370300000049e+01
3.701801801799999847e-01,-8.608695308100000432e+01,-7.461744972399999654e+01,-7.401733642400000690e+01,-7.766036415400000692e+01,-7.305669974600000671e+01
3.901901901900000080e-01,-7.823763187900000560e+01,-7.288381687899999406e+01,-8.266174804199999926e+01,-9.230132040600000209e+01,-7.582891967300000147e+01
4.102002001999999758e-01,-7.389158227699999770e+01,-7.044179647400000022e+01,-7.935127021099999922e+01,-8.905454674400000670e+01,-7.114659165899999493e+01
4.302102102099999992e-01,-7.774005099900000459e+01,-8.529195129100000372e+01,-7.738172331299999485e+01,-7.485783651900000280e+01,-7.882331361599999298e+01
4.502202202200000225e-01,-7.495656640299999651e+01,-7.898759155000000476e+01,-8.026115312500000698e+01,-7.837182021899999995e+01,-9.043599007100000620e+01
4.702302302300000458e-01,-6.952116674600000579e+01,-7.502002844300000106e+01,-7.791261640499999430e+01,-8.193167479699999944e+01,-7.575589154099999689e+01
4.902402402400000136e-01,-7.905430222399999707e+01,-9.000679669100000524e+01,-7.783767660300000557e+01,-8.063993969700000264e+01,-7.737975604599999713e+01
5.102502502500000370e-01,-7.357362773699999536e+01,-8.800008971100000110e+01,-6.923863213100000280e+01,-7.539951006699999425e+01,-7.054585694499999704e+01
5.302602602599999493e-01,-7.430268393000000060e+01,-7.562434612600000605e+01,-7.045319535400000177e+01,-7.692427649299999359e+01,-6.461788837699999988e+01
5.502702702699999726e-01,-8.267229196700000671e+01,-7.137293490300000087e+01,-6.728967158599999721e+01,-9.150905164799999625e+01,-6.138293760700000234e+01
5.702802802799999959e-01,-7.044472910800000420e+01,-7.706584003300000063e+01,-6.490325967699999410e+01,-6.662849903000000040e+01,-6.028248721700000345e+01
