freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-7.489516427600000270e+01,-7.866305322499999875e+01,-7.459948579999999652e+01,-7.287544264699999985e+01,-7.403327316600000074e+01
3.001001001000000099e-02,-7.606672975300000417e+01,-7.980629216600000575e+01,-7.955237652399999604e+01,-7.211178481599999657e+01,-8.263629022499999621e+01
5.002002002000000003e-02,-9.336359082399999920e+01,-7.864479492799999605e+01,-7.882098310199999958e+01,-7.756405146800000239e+01,-8.187502356500000644e+01
7.003003002999999560e-02,-7.422849187100000279e+01,-8.054134182200000680e+01,-8.177102946499999803e+01,-8.084567843099999607e+01,-7.767165122599999449e+01
9.004004004000000505e-02,-8.203773148000000504e+01,-7.820728486000000146e+01,-7.983172371499999542e+01,-8.043238904800000455e+01,-8.411014989699999944e+01
1.100500500500000006e-01,-8.239116438700000344e+01,-9.089003283200000283e+01,-9.055197050900000022e+01,-7.700699869800000386e+01,-7.547978839699999298e+01
1.300600600600000101e-01,-7.854927231499999607e+01,-8.005009197100000051e+01,-8.114757512299999576e+01,-8.164285028000000466e+01,-9.372294513500000335e+01
1.500700700700000056e-01,-8.364139504099999556e+01,-7.990910567100000605e+01,-7.948303497300000231e+01,-7.703308447999999942e+01,-8.165375608200000102e+01
1.700800800800000012e-01,-7.951179853899999728e+01,-8.138693474199999400e+01,-7.477877986599999360e+01,-8.579502766500000632e+01,-8.694717059900000322e+01
1.900900900899999968e-01,-8.032790921400000173e+01,-7.669771904499999948e+01,-6.930764073000000280e+01,-7.731231130599999801e+01,-7.644625696900000378e+01
2.101001000999999924e-01,-8.132957513499999891e+01,-8.082119826900000703e+01,-8.084008605100000011e+01,-7.641233501300000341e+01,-8.325020917800000575e+01
2.301101101100000157e-01,-8.264897829999999601e+01,-9.602665387099999350e+01,-7.259720200300000670e+01,-9.083007659099999387e+01,-7.664324374900000691e+01
2.501201201200000113e-01,-7.470677219600000285e+01,-9.431977058299999328e+01,-8.726287560900000528e+01,-8.002615581700000291e+01,-7.934925990300000365e+01
2.701301301299999791e-01,-8.177433962300000303e+01,-7.492987134599999877e+01,-8.571422451899999828e+01,-7.699888510200000269e+01,-7.860205126900000039e+01
2.901401401400000024e-01,-8.707947532599999363e+01,-8.304445631999999478e+01,-9.226680153600000267e+01,-7.909820587199999409e+01,-7.625979969499999811e+01
3.101501501499999702e-01,-8.018044652599999722e+01,-8.596807395000000440e+01,-8.574803513499999497e+01,-7.447130765800000063e+01,-7.428618268499999999e+01
3.301601601600000491e-01,-8.330425964100000158e+01,-8.455019474499999887e+01,-7.798395389700000635e+01,-8.080411222099999691e+01,-8.433519375699999898e+01
3.501701701700000169e-01,-8.475538422500000024e+01,-8.549131584399999895e+01,-7.402659473900000364e+01,-7.617358937400000229e+01,-7.404478361600000369e+01
3.701801801799999847e-01,-8.115746700699999394e+01,-8.099556512899999916e+01,-7.819874917699999628e+01,-8.935565029500000378e+01,-7.687874658100000147e+01
3.901901901900000080e-01,-9.254741188399999885e+01,-8.414649000599999340e+01,-9.322734624800000347e+01,-8.212666032399999949e+01,-7.397793061100000500e+01
4.102002001999999758e-01,-8.681062418300000161e+01,-7.142924836999999627e+01,-7.054218538199999955e+01,-7.854586042200000406e+01,-7.067587153399999522e+01
4.302102102099999992e-01,-9.694270142099999532e+01,-8.486752633400000434e+01,-7.389464645099999984e+01,-7.319690366199999687e+01,-8.125797067800000661e+01
4.502202202200000225e-01,-7.934171797400000514e+01,-8.944808221399999582e+01,-8.062579268199999660e+01,-7.505161178100000541e+01,-8.803776615200000322e+01
4.702302302300000458e-01,-7.597844656099999838e+01,-7.665421074799999701e+01,-7.721881610399999829e+01,-7.839329561799999624e+01,-7.685818447699999467e+01
4.902402402400000136e-01,-7.128076748799999507e+01,-7.420885530099999983e+01,-7.816772914800000649e+01,-7.891823806700000432e+01,-7.838146290599999588e+01
5.102502502500000370e-01,-7.372694935200000543e+01,-7.491845761199999743e+01,-7.384738593199999457e+01,-7.447669520499999862e+01,-6.884991555700000276e+01
5.302602602599999493e-01,-7.536325800500000582e+01,-7.299925590200000158e+01,-6.658790283700000145e+01,-8.221432785899999374e+01,-6.700589055999999744e+01
5.502702702699999726e-01,-7.608761390600000141e+01,-7.504993455599999663e+01,-8.193183198200000561e+01,-7.929971359699999311e+01,-6.715493064300000015e+01
5.702802802799999959e-01,-7.750413623500000426e+01,-7.189964177500000631e+01,-6.466341916899999376e+01,-7.554651147399999900e+01,-5.987222844499999752e+01
5.902902902899999082e-01,-7.028142172699999435e+01,-7.834059703600000546e+01,-6.756416464999999505e+01,-7.495649309399999538e+01,-5.807188802499999980e+01
6.103003002999999316e-01,-6.975153115700000228e+01,-8.268329447700000401e+01,-6.353546119399999981e+01,-7.126828553199999305e+01,-5.573624505400000118e+01
6.303103103099999549e-01,-6.646925359600000149e+01,-6.977591293700000108e+01,-6.204000657699999977e+01,-7.166173335000000577e+01,-5.453187548799999718e+01
6.503203203200000893e-01,-7.146982939800000167e+01,-6.574367707099999336e+01,-5.613016347199999956e+01,-8.081149723400000084e+01,-5.165626550100000003e+01
6.703303303300000016e-01,-6.465413310899999999e+01,-6.683933319899999503e+01,-5.449190294600000328e+01,-6.596014958499999636e+01,-4.846492416800000314e+01
