timestamp,tag,addr,V_read,I_read,P_power_supply,health,health_status,health_error_W,status_raw,is_on,error
1785390302.5954602,active_health_call_20_V20_I3,46,19.99,2.08,41.5792,100.0,healthy,1.5792000000000002,1,True,
1785390302.5954602,active_health_call_20_V20_I3,47,20.0,2.11,42.199999999999996,100.0,healthy,2.1999999999999957,1,True,
1785390302.5954602,active_health_call_20_V20_I3,48,20.0,1.93,38.6,100.0,healthy,-1.3999999999999986,1,True,
1785390302.5954602,active_health_call_20_V20_I3,49,19.99,2.0,39.98,100.0,healthy,-0.020000000000003126,1,True,
1785390302.5954602,active_health_call_20_V20_I3,50,19.99,2.15,42.9785,100.0,healthy,2.978499999999997,1,True,
1785390302.5954602,active_health_call_20_V20_I3,51,20.01,1.94,38.8194,100.0,healthy,-1.1805999999999983,1,True,
1785390302.5954602,active_health_call_20_V20_I3,52,20.01,2.05,41.0205,100.0,healthy,1.0204999999999984,1,True,
1785390302.5954602,active_health_call_20_V20_I3,53,20.0,2.22,44.400000000000006,100.0,healthy,4.400000000000006,1,True,
1785390302.5954602,active_health_call_20_V20_I3,54,20.01,2.14,42.821400000000004,100.0,healthy,2.821400000000004,1,True,
1785390302.5954602,active_health_call_20_V20_I3,55,20.0,2.03,40.599999999999994,100.0,healthy,0.5999999999999943,1,True,
1785390302.5954602,active_health_call_20_V20_I3,56,20.0,2.02,40.4,100.0,healthy,0.3999999999999986,1,True,
1785390302.5954602,active_health_call_20_V20_I3,57,20.01,2.1,42.02100000000001,100.0,healthy,2.021000000000008,1,True,
1785390302.5954602,active_health_call_20_V20_I3,58,19.99,2.06,41.1794,100.0,healthy,1.1794000000000011,1,True,
1785390302.5954602,active_health_call_20_V20_I3,59,19.99,2.09,41.77909999999999,100.0,healthy,1.7790999999999926,1,True,
1785390302.5954602,active_health_call_20_V20_I3,60,20.0,1.92,38.4,100.0,healthy,-1.6000000000000014,1,True,
1785390302.5954602,active_health_call_20_V20_I3,61,19.99,2.0,39.98,100.0,healthy,-0.020000000000003126,1,True,
1785390302.5954602,active_health_call_20_V20_I3,62,20.01,2.02,40.4202,100.0,healthy,0.42020000000000124,1,True,
1785390302.5954602,active_health_call_20_V20_I3,63,20.0,2.02,40.4,100.0,healthy,0.3999999999999986,1,True,
1785390302.5954602,active_health_call_20_V20_I3,64,20.0,2.02,40.4,100.0,healthy,0.3999999999999986,1,True,
1785390302.5954602,active_health_call_20_V20_I3,65,20.0,2.23,44.6,100.0,healthy,4.600000000000001,1,True,
1785390302.5954602,active_health_call_20_V20_I3,66,20.0,1.96,39.2,100.0,healthy,-0.7999999999999972,1,True,
1785390302.5954602,active_health_call_20_V20_I3,67,20.01,1.95,39.0195,100.0,healthy,-0.9804999999999993,1,True,
1785390302.5954602,active_health_call_20_V20_I3,68,20.0,2.15,43.0,100.0,healthy,3.0,1,True,
1785390302.5954602,active_health_call_20_V20_I3,69,19.99,1.96,39.1804,100.0,healthy,-0.8196000000000012,1,True,
1785390302.5954602,active_health_call_20_V20_I3,70,19.99,2.04,40.779599999999995,100.0,healthy,0.779599999999995,1,True,
1785390302.5954602,active_health_call_20_V20_I3,71,20.0,1.98,39.6,100.0,healthy,-0.3999999999999986,1,True,
1785390302.5954602,active_health_call_20_V20_I3,72,19.99,2.24,44.7776,100.0,healthy,4.7776,1,True,
1785390302.5954602,active_health_call_20_V20_I3,73,19.99,2.06,41.1794,100.0,healthy,1.1794000000000011,1,True,
1785390302.5954602,active_health_call_20_V20_I3,74,20.0,1.97,39.4,100.0,healthy,-0.6000000000000014,1,True,
1785390302.5954602,active_health_call_20_V20_I3,75,19.99,2.0,39.98,100.0,healthy,-0.020000000000003126,1,True,
1785390302.5954602,active_health_call_20_V20_I3,76,20.01,1.94,38.8194,100.0,healthy,-1.1805999999999983,1,True,
1785390302.5954602,active_health_call_20_V20_I3,77,20.0,2.18,43.6,100.0,healthy,3.6000000000000014,1,True,
1785390302.5954602,active_health_call_20_V20_I3,78,20.0,2.01,40.199999999999996,100.0,healthy,0.19999999999999574,1,True,
1785390302.5954602,active_health_call_20_V20_I3,79,20.0,2.18,43.6,100.0,healthy,3.6000000000000014,1,True,
1785390302.5954602,active_health_call_20_V20_I3,80,20.0,2.12,42.400000000000006,100.0,healthy,2.4000000000000057,1,True,
1785390302.5954602,active_health_call_20_V20_I3,81,20.0,1.92,38.4,100.0,healthy,-1.6000000000000014,1,True,
1785390302.5954602,active_health_call_20_V20_I3,82,20.0,2.14,42.800000000000004,100.0,healthy,2.8000000000000043,1,True,
1785390302.5954602,active_health_call_20_V20_I3,83,20.01,2.19,43.8219,100.0,healthy,3.8218999999999994,1,True,
1785390302.5954602,active_health_call_20_V20_I3,84,19.99,1.96,39.1804,100.0,healthy,-0.8196000000000012,1,True,
1785390302.5954602,active_health_call_20_V20_I3,85,20.0,2.19,43.8,100.0,healthy,3.799999999999997,1,True,
1785390302.5954602,active_health_call_20_V20_I3,86,20.0,1.97,39.4,100.0,healthy,-0.6000000000000014,1,True,
1785390302.5954602,active_health_call_20_V20_I3,87,19.99,2.36,47.176399999999994,100.0,healthy,7.176399999999994,1,True,
1785390302.5954602,active_health_call_20_V20_I3,88,20.0,2.11,42.199999999999996,100.0,healthy,2.1999999999999957,1,True,
