freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-7.226120423800000481e+01,-7.445262140200000545e+01,-7.259780636200000004e+01,-7.829107953000000464e+01,-7.645699066400000277e+01
3.001001001000000099e-02,-8.091672532500000159e+01,-7.807892435499999806e+01,-9.346162481899999364e+01,-7.701751505299999678e+01,-7.511607201399999667e+01
5.002002002000000003e-02,-7.360938670100000536e+01,-8.367415141300000414e+01,-8.803855616100000248e+01,-8.759748264200000278e+01,-7.845694877900000108e+01
7.003003002999999560e-02,-7.802319465399999388e+01,-7.860281763899999419e+01,-8.495875861499999360e+01,-7.768471152700000459e+01,-7.867849503499999742e+01
9.004004004000000505e-02,-8.884960282100000484e+01,-8.118872537100000386e+01,-8.368201039000000208e+01,-8.593889243099999931e+01,-7.541741503800000146e+01
1.100500500500000006e-01,-7.630601244999999722e+01,-7.431697432299999662e+01,-8.408023085799999308e+01,-9.684690935999999795e+01,-8.227221150299999408e+01
1.300600600600000101e-01,-7.736717730200000176e+01,-9.221616005799999982e+01,-7.464530413599999292e+01,-7.675987919599999998e+01,-8.048056297799999470e+01
1.500700700700000056e-01,-9.282099342799999420e+01,-9.086901790999999662e+01,-7.943367157199999440e+01,-7.831696224700000641e+01,-7.726858466699999894e+01
1.700800800800000012e-01,-7.957234408399999381e+01,-8.065149566099999845e+01,-8.263121049500000481e+01,-9.148609327500000177e+01,-7.469861051399999496e+01
1.900900900899999968e-01,-7.606216153299999405e+01,-7.516612611099999697e+01,-7.593682005700000559e+01,-8.220425405500000693e+01,-7.705861585799999602e+01
2.101001000999999924e-01,-9.140909546999999691e+01,-7.838296793199999968e+01,-8.692139645599999653e+01,-7.997683226200000206e+01,-8.688521327399999450e+01
2.301101101100000157e-01,-7.656397044300000232e+01,-8.317011473200000182e+01,-7.572865244800000539e+01,-7.800263940199999979e+01,-7.755587351799999851e+01
2.501201201200000113e-01,-8.225818137800000329e+01,-9.653010178600000302e+01,-7.441849948799999481e+01,-8.060619837699999835e+01,-7.652756803799999830e+01
2.701301301299999791e-01,-8.436464251300000683e+01,-8.992446716000000606e+01,-8.144544244499999763e+01,-8.316588582400000007e+01,-8.756040181100000552e+01
2.901401401400000024e-01,-8.066897663800000373e+01,-7.520782585300000278e+01,-8.040379546900000207e+01,-7.934419000799999822e+01,-8.115441558999999927e+01
