freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-7.372621752899999592e+01,-7.873236560799999495e+01,-7.798588655199999664e+01,-7.212981534399999362e+01,-8.394637309300000538e+01
3.001001001000000099e-02,-7.461119772300000363e+01,-8.156739442600000700e+01,-8.034827755599999932e+01,-7.200986006399999440e+01,-8.632810094100000242e+01
5.002002002000000003e-02,-8.780733496700000273e+01,-7.467425251800000296e+01,-8.156232141300000649e+01,-8.262110347200000149e+01,-8.359170514900000626e+01
7.003003002999999560e-02,-7.899626875100000234e+01,-7.356301459799999520e+01,-8.678252896099999703e+01,-8.596078323199999716e+01,-7.898031358400000101e+01
9.004004004000000505e-02,-8.157522035700000629e+01,-8.338641322300000525e+01,-8.244148128800000563e+01,-7.615198557600000129e+01,-8.092129992399999594e+01
1.100500500500000006e-01,-7.773174149199999761e+01,-8.731917665599999623e+01,-7.322682771700000615e+01,-8.355899896100000035e+01,-8.575075619199999721e+01
1.300600600600000101e-01,-7.985515200000000391e+01,-7.862370219400000337e+01,-8.167635407699999917e+01,-8.713355491100000449e+01,-8.028901419499999292e+01
1.500700700700000056e-01,-7.850320531200000573e+01,-8.213355796000000453e+01,-7.724451092699999322e+01,-9.271503681500000482e+01,-8.549488890799999297e+01
1.700800800800000012e-01,-7.771146659900000486e+01,-7.842883487000000287e+01,-8.004158843999999817e+01,-8.131656855699999653e+01,-7.455794431099999997e+01
1.900900900899999968e-01,-8.539371860500000366e+01,-7.891028188900000373e+01,-7.648603651000000525e+01,-7.980836088099999870e+01,-8.231646335599999986e+01
2.101001000999999924e-01,-8.615167543600000499e+01,-7.513630268299999670e+01,-7.725504539199999954e+01,-7.722139959899999440e+01,-8.505913689000000488e+01
2.301101101100000157e-01,-8.953514052900000308e+01,-7.688198249500000259e+01,-8.003949155700000517e+01,-8.411161999600000172e+01,-8.365069959800000277e+01
2.501201201200000113e-01,-8.813579474499999833e+01,-8.865759230700000160e+01,-7.824190391899999497e+01,-7.890365306500000031e+01,-8.288117728299999953e+01
2.701301301299999791e-01,-7.413394773000000271e+01,-8.080530213500000514e+01,-8.164564463899999680e+01,-7.670011614800000643e+01,-7.568720442900000478e+01
2.901401401400000024e-01,-7.552149882099999445e+01,-8.061870785099999637e+01,-8.104484183700000699e+01,-7.686012882999999363e+01,-7.983282532600000536e+01
3.101501501499999702e-01,-7.497244879199999446e+01,-7.878848472800000025e+01,-8.190806901700000253e+01,-8.227881604799999593e+01,-7.998811645300000350e+01
3.301601601600000491e-01,-7.707693378000000450e+01,-7.459580459299999688e+01,-7.669495268900000440e+01,-8.153390002199999742e+01,-7.290413018399999601e+01
3.501701701700000169e-01,-7.625647368200000642e+01,-7.983517255200000307e+01,-8.015386550499999885e+01,-9.959270940700000097e+01,-7.636667228700000010e+01
3.701801801799999847e-01,-7.716686174500000561e+01,-7.529420326700000032e+01,-8.332119852399999615e+01,-9.065384945799999628e+01,-7.510040643300000340e+01
3.901901901900000080e-01,-7.543941911000000289e+01,-7.680302487800000222e+01,-8.022101584000000685e+01,-8.089758610100000169e+01,-7.157546511600000372e+01
4.102002001999999758e-01,-8.022430648600000325e+01,-8.199874504999999658e+01,-6.995057748899999694e+01,-7.762242507400000591e+01,-7.409080426399999908e+01
4.302102102099999992e-01,-8.694836129099999766e+01,-7.359722206700000413e+01,-8.047703262599999618e+01,-8.622047597600000302e+01,-7.505243880800000511e+01
4.502202202200000225e-01,-8.053035006199999657e+01,-7.808084312699999430e+01,-7.457211439700000710e+01,-7.510921540799999718e+01,-7.497694961800000613e+01
4.702302302300000458e-01,-7.141019196999999963e+01,-7.833603510800000436e+01,-7.794556067700000312e+01,-7.230255632600000126e+01,-8.271800328199999797e+01
4.902402402400000136e-01,-6.899826755899999853e+01,-8.150022357400000317e+01,-7.841651504099999670e+01,-7.297419730100000379e+01,-6.733451258399999517e+01
5.102502502500000370e-01,-9.707367841600000702e+01,-8.183289405099999669e+01,-7.233022179699999299e+01,-7.281916057200000125e+01,-6.972851260100000559e+01
5.302602602599999493e-01,-7.172067960900000116e+01,-8.211525251700000183e+01,-7.093302113299999689e+01,-7.535432968000000642e+01,-6.863741524300000663e+01
5.502702702699999726e-01,-7.645164388899999608e+01,-7.980242689199999973e+01,-6.389482296599999955e+01,-9.829821981899999628e+01,-6.635279471500000170e+01
5.702802802799999959e-01,-7.945475309299999367e+01,-8.134725692400000696e+01,-6.488348349100000689e+01,-7.697907503700000120e+01,-6.220303290399999696e+01
5.902902902899999082e-01,-6.927158781900000406e+01,-6.824120442100000616e+01,-6.344487670499999865e+01,-7.392422614699999883e+01,-6.080725588699999662e+01
6.103003002999999316e-01,-7.062221256700000538e+01,-6.939065625599999976e+01,-6.247900759800000259e+01,-6.946651556899999491e+01,-5.881967919400000255e+01
6.303103103099999549e-01,-7.414196357000000148e+01,-7.581132184599999846e+01,-5.966324526300000031e+01,-7.494837646599999914e+01,-5.618180905500000222e+01
6.503203203200000893e-01,-6.803045789799999454e+01,-6.514125043399999981e+01,-5.410875078000000116e+01,-8.297613552500000367e+01,-5.368798644799999664e+01
6.703303303300000016e-01,-6.739239476599999534e+01,-7.132868122399999322e+01,-5.244618149099999727e+01,-7.108275523300000032e+01,-5.064105400399999724e+01
6.903403403400000249e-01,-6.494212805700000501e+01,-7.144066589099999476e+01,-5.105095529199999760e+01,-7.614249490100000628e+01,-4.968920683900000057e+01
7.103503503500000482e-01,-6.267650745400000289e+01,-6.148931196200000215e+01,-5.008318325199999776e+01,-6.281926984999999775e+01,-4.864232798900000176e+01
7.303603603599999605e-01,-5.724915591700000306e+01,-6.207240581300000315e+01,-4.833217556299999984e+01,-6.583746619299999736e+01,-4.692782346700000318e+01
7.503703703699999839e-01,-5.854451137299999885e+01,-5.959427607800000004e+01,-4.906243951999999808e+01,-6.344792571899999700e+01,-4.586804246300000187e+01
7.703803803800000072e-01,-5.930850193300000228e+01,-5.896252968799999650e+01,-4.811090870599999647e+01,-6.119803281499999770e+01,-4.510308414200000016e+01
7.903903903900000305e-01,-5.667593991900000105e+01,-5.808958295699999752e+01,-4.659280007499999954e+01,-6.398429893400000168e+01,-4.407479325199999920e+01
8.104004003999999428e-01,-5.512984683599999869e+01,-6.117851775100000111e+01,-4.567688025399999674e+01,-6.388806595999999871e+01,-4.309203627400000158e+01
8.304104104099999661e-01,-5.239944656699999825e+01,-6.160328987399999789e+01,-4.566988358900000122e+01,-6.154325303099999900e+01,-4.250362419199999664e+01
8.504204204199999895e-01,-5.332685030300000051e+01,-5.535260652499999878e+01,-4.688584221499999671e+01,-6.000798463099999935e+01,-4.240799281000000320e+01
8.704304304299999018e-01,-5.292843432099999745e+01,-5.201857240500000046e+01,-4.569199852799999917e+01,-6.472212511899999754e+01,-4.241633602999999653e+01
8.904404404400000361e-01,-5.577270598399999813e+01,-5.379675907400000057e+01,-4.493228694700000148e+01,-6.051810358699999881e+01,-4.224400480900000332e+01
9.104504504500000595e-01,-5.530330751599999672e+01,-5.559290589599999777e+01,-4.606336224199999663e+01,-5.783127864400000107e+01,-4.281287652000000321e+01
9.304604604600000828e-01,-5.651700919499999998e+01,-5.542731472999999909e+01,-4.578622176399999688e+01,-5.838926046499999956e+01,-4.374553838799999994e+01
9.504704704699999951e-01,-5.554663007999999991e+01,-5.755598357499999906e+01,-4.589081479899999749e+01,-5.925747847099999888e+01,-4.488200018599999908e+01
9.704804804800000184e-01,-5.782682298000000287e+01,-5.786728144700000342e+01,-4.693586454300000099e+01,-5.974846258200000193e+01,-4.555274097800000277e+01
9.904904904900000417e-01,-5.648684539100000279e+01,-6.261224350100000180e+01,-4.762929989399999897e+01,-6.336852216700000184e+01,-4.642575980800000224e+01
1.010500500500000065e+00,-5.835916123399999833e+01,-6.570773558300000161e+01,-4.797828120500000182e+01,-6.813149766300000465e+01,-4.654742851099999967e+01
1.030510510500000088e+00,-5.912342435000000052e+01,-6.655255167800000038e+01,-4.803401510799999841e+01,-6.083985921899999738e+01,-4.664390856600000035e+01
1.050520520500000110e+00,-6.206445078600000187e+01,-6.128531796299999712e+01,-4.758476609600000273e+01,-6.185722493499999786e+01,-4.715670614500000113e+01
1.070530530499999911e+00,-6.110721569900000105e+01,-5.753291468199999770e+01,-4.812301968300000254e+01,-6.205987052599999743e+01,-4.703292817100000178e+01
1.090540540499999933e+00,-6.068964489399999707e+01,-5.940562497900000238e+01,-4.835558203200000094e+01,-6.039613313200000277e+01,-4.675277101900000076e+01
1.110550550599999964e+00,-6.130912275000000022e+01,-6.148431596599999693e+01,-4.828616919099999905e+01,-6.353250250600000015e+01,-4.621542996299999828e+01
1.130560560599999986e+00,-6.162146560600000100e+01,-5.994312183699999963e+01,-4.774173485800000094e+01,-7.130588475499999390e+01,-4.537821821899999719e+01
1.150570570600000009e+00,-6.740529737100000318e+01,-7.292805974600000241e+01,-4.699495320599999815e+01,-6.745972944199999688e+01,-4.472325604299999924e+01
1.170580580599999809e+00,-6.531460981600000082e+01,-6.565257024699999988e+01,-4.672830961399999694e+01,-7.103341540099999918e+01,-4.423826950400000158e+01
1.190590590599999832e+00,-6.217371719100000149e+01,-6.387439148699999691e+01,-4.524963312199999876e+01,-6.191465449599999715e+01,-4.364931078499999728e+01
1.210600600599999854e+00,-6.382146003199999740e+01,-6.680454160099999683e+01,-4.508675647700000155e+01,-6.193218624299999675e+01,-4.393631634599999813e+01
1.230610610599999877e+00,-6.678908787800000368e+01,-7.036700230499999975e+01,-4.283767114799999831e+01,-7.140290765199999612e+01,-4.336719821399999830e+01
1.250620620599999899e+00,-7.093044410999999627e+01,-6.753053981499999736e+01,-4.295469626500000260e+01,-6.844165165900000147e+01,-4.305301511900000122e+01
1.270630630599999922e+00,-6.541333641699999646e+01,-6.909291225799999836e+01,-4.216410874999999692e+01,-7.884005742600000133e+01,-4.236865362300000015e+01
1.290640640599999944e+00,-5.851996530499999949e+01,-6.205478644400000121e+01,-4.165677300800000182e+01,-6.745281560799999454e+01,-4.225942305899999951e+01
1.310650650699999975e+00,-5.826678673600000025e+01,-6.492519518400000322e+01,-4.165252262300000297e+01,-6.350964995900000076e+01,-4.207327420299999687e+01
1.330660660699999998e+00,-5.661910204899999854e+01,-5.981215881199999984e+01,-4.105490419299999871e+01,-6.285604942999999878e+01,-4.133175039199999645e+01
1.350670670700000020e+00,-5.357413041899999939e+01,-5.811819939699999793e+01,-4.050023307499999703e+01,-6.596673176199999489e+01,-4.186916791400000193e+01
1.370680680700000043e+00,-5.670370582399999648e+01,-5.652354613499999658e+01,-4.017086699499999725e+01,-6.778302620099999842e+01,-4.068647578299999878e+01
1.390690690700000065e+00,-5.759856227400000250e+01,-5.913108228800000177e+01,-3.966342619099999922e+01,-6.265520556199999902e+01,-4.038955669199999932e+01
1.410700700700000088e+00,-5.531026573599999807e+01,-6.043493712699999776e+01,-3.886044112300000108e+01,-6.304484216800000240e+01,-4.005274302099999773e+01
1.430710710700000110e+00,-5.275500040299999682e+01,-5.636029336499999687e+01,-3.789088519799999943e+01,-6.450058338200000208e+01,-3.913336621500000234e+01
1.450720720700000133e+00,-5.167438173000000035e+01,-5.660149003499999765e+01,-3.705499080799999945e+01,-6.493836259500000097e+01,-3.772946277100000145e+01
1.470730730700000155e+00,-5.341417863600000260e+01,-5.670544829199999981e+01,-3.632670899400000053e+01,-6.375029645600000094e+01,-3.631370503299999797e+01
1.490740740699999956e+00,-5.056177801900000190e+01,-5.353658672000000252e+01,-3.540032637699999896e+01,-7.323243165300000612e+01,-3.534586621100000059e+01
1.510750750799999986e+00,-5.196364723100000305e+01,-5.129423200099999747e+01,-3.406118370400000117e+01,-7.269956329299999709e+01,-3.410554173700000291e+01
1.530760760800000009e+00,-5.006479414199999667e+01,-5.616323983400000230e+01,-3.320433587899999850e+01,-8.640992998400000147e+01,-3.275403109700000215e+01
1.550770770800000031e+00,-4.909079164300000286e+01,-5.545356817100000058e+01,-3.218538357999999988e+01,-6.208014028499999881e+01,-3.176097194700000159e+01
1.570780780800000054e+00,-4.813454030799999828e+01,-5.869148333500000092e+01,-3.160123210400000104e+01,-6.348688856700000116e+01,-3.094221626099999867e+01
1.590790790799999854e+00,-4.923121455500000110e+01,-5.375990009800000280e+01,-3.177840734899999831e+01,-5.538456118399999895e+01,-3.048843022300000172e+01
1.610800800799999877e+00,-5.455308946000000248e+01,-5.574138759800000287e+01,-3.226393001499999968e+01,-5.762563525299999867e+01,-3.051492842600000088e+01
1.630810810799999899e+00,-5.376697789699999674e+01,-5.381451906499999893e+01,-3.169846508999999912e+01,-5.901692786299999938e+01,-3.007552303199999955e+01
1.650820820799999922e+00,-4.948968978500000304e+01,-5.636753996699999902e+01,-3.109085500000000124e+01,-7.301446777300000690e+01,-2.957077488199999848e+01
1.670830830799999944e+00,-4.973198306799999813e+01,-5.643777131699999927e+01,-3.067256048899999854e+01,-5.595650213500000092e+01,-2.886838803599999892e+01
1.690840840799999967e+00,-4.386481938600000063e+01,-5.494476325899999836e+01,-3.056462254099999853e+01,-5.389416359799999867e+01,-2.801530260299999853e+01
1.710850850899999998e+00,-4.286135632100000237e+01,-6.975609972499999856e+01,-3.034093361600000094e+01,-5.188495015099999819e+01,-2.713064632900000106e+01
1.730860860900000020e+00,-4.289390704600000248e+01,-6.705094434800000158e+01,-3.054286251999999990e+01,-5.778495201700000194e+01,-2.717109636900000069e+01
1.750870870900000043e+00,-4.335473703200000273e+01,-5.519332741000000198e+01,-3.104566060499999836e+01,-5.443945879799999688e+01,-2.773930767399999908e+01
1.770880880900000065e+00,-4.389140991299999683e+01,-5.494388549500000352e+01,-3.245531897400000076e+01,-5.758851955200000106e+01,-2.809734105800000137e+01
1.790890890900000088e+00,-4.633499806700000079e+01,-4.942880933200000015e+01,-3.390015304199999946e+01,-5.503044994399999723e+01,-2.865007567199999983e+01
1.810900900900000110e+00,-4.657962364800000188e+01,-4.828669983099999996e+01,-3.502695316999999875e+01,-5.126322820499999722e+01,-2.933050343800000093e+01
1.830910910900000133e+00,-4.866635436100000334e+01,-4.777499657100000263e+01,-3.543712524299999700e+01,-5.286249646600000318e+01,-2.996137704899999932e+01
1.850920920900000155e+00,-4.923513958000000201e+01,-4.971853378899999854e+01,-3.605381271200000270e+01,-5.155706565999999924e+01,-3.085677421100000117e+01
1.870930930900000178e+00,-5.166051569700000101e+01,-5.184413433699999985e+01,-3.644171381000000309e+01,-5.324324244700000008e+01,-3.144799902000000102e+01
1.890940940900000200e+00,-5.365340810699999707e+01,-5.413464191799999981e+01,-3.663028475099999781e+01,-5.364997491100000104e+01,-3.172976780000000119e+01
1.910950951000000009e+00,-5.660861531799999824e+01,-5.609916183200000006e+01,-3.680718841600000246e+01,-5.368272507900000079e+01,-3.219485331100000280e+01
1.930960961000000031e+00,-5.275238706399999700e+01,-6.646547728699999880e+01,-3.670287498199999732e+01,-5.403257275400000026e+01,-3.204273246099999994e+01
1.950970971000000054e+00,-5.136325494900000166e+01,-5.431142773599999884e+01,-3.574286325500000316e+01,-5.811558299499999691e+01,-3.165706383599999896e+01
1.970980981000000076e+00,-5.214330146999999727e+01,-5.283997027600000251e+01,-3.517943613300000294e+01,-5.757491518900000216e+01,-3.153573283500000102e+01
1.990990991000000099e+00,-5.025755264499999697e+01,-5.442445787599999818e+01,-3.489140865200000263e+01,-5.695259271599999806e+01,-3.117146457400000159e+01
2.011001000999999899e+00,-5.112586269599999866e+01,-5.457634591600000107e+01,-3.498490750900000279e+01,-5.807132601899999713e+01,-3.080816399300000086e+01
2.031011010999999922e+00,-5.557838259100000045e+01,-5.369338247599999647e+01,-3.496435849699999920e+01,-5.908241555400000067e+01,-3.079330549399999839e+01
2.051021020999999944e+00,-5.502986728100000136e+01,-5.244922556499999899e+01,-3.405875713900000079e+01,-6.030850698700000123e+01,-3.028369176700000054e+01
2.071031030999999967e+00,-5.720509196700000132e+01,-5.106878228099999717e+01,-3.312088750899999923e+01,-6.920255987400000208e+01,-2.981335509699999875e+01
2.091041040999999989e+00,-5.583115424199999666e+01,-5.005474828599999881e+01,-3.274114415500000064e+01,-6.240478426600000006e+01,-2.964559094499999858e+01
2.111051051100000020e+00,-5.167857326800000095e+01,-4.775265624499999717e+01,-3.258859027799999808e+01,-6.603208104300000514e+01,-2.970425540999999825e+01
2.131061061100000043e+00,-5.002113778199999672e+01,-4.624421345199999678e+01,-3.281796718900000087e+01,-6.000339226500000223e+01,-2.944533885799999950e+01
2.151071071100000065e+00,-5.026193332399999747e+01,-4.662473241200000018e+01,-3.273247122800000142e+01,-5.503180890400000180e+01,-2.948732906800000109e+01
2.171081081100000088e+00,-5.025697577199999699e+01,-4.733501194699999814e+01,-3.217416543600000267e+01,-5.308891988700000297e+01,-2.973878574300000110e+01
2.191091091100000110e+00,-4.996661281000000088e+01,-4.815273540799999807e+01,-3.118901576900000094e+01,-5.445248895999999661e+01,-2.983540025699999987e+01
2.211101101099999688e+00,-4.932318867499999726e+01,-4.836037313599999976e+01,-3.072184052300000090e+01,-5.498236749000000145e+01,-3.010491791800000172e+01
2.231111111099999711e+00,-5.092282675900000299e+01,-4.917041910900000090e+01,-3.067559874699999867e+01,-6.117660000299999723e+01,-3.005828334999999996e+01
2.251121121099999733e+00,-5.078200147399999764e+01,-4.867379556000000207e+01,-3.112094436699999989e+01,-6.278201245399999664e+01,-2.971767163199999828e+01
2.271131131099999756e+00,-5.130146682200000186e+01,-5.009806904599999910e+01,-3.129586329400000011e+01,-6.203091763599999808e+01,-2.979556571099999829e+01
2.291141141099999778e+00,-5.172910857899999826e+01,-4.869143671900000214e+01,-3.142012667899999911e+01,-5.804795529100000095e+01,-2.980565937100000085e+01
2.311151151199999809e+00,-5.059500024799999807e+01,-4.763790672700000073e+01,-3.064824856099999906e+01,-5.917822812200000016e+01,-2.935728942400000108e+01
2.331161161199999832e+00,-4.990923894000000161e+01,-4.633204833500000319e+01,-3.043840875700000126e+01,-5.544175629600000121e+01,-2.890965215399999977e+01
2.351171171199999854e+00,-5.046601283700000096e+01,-4.691655068699999731e+01,-2.963815832199999889e+01,-5.435490586200000251e+01,-2.849842337899999833e+01
2.371181181199999877e+00,-5.087238098800000330e+01,-4.575684555499999817e+01,-2.928668678000000014e+01,-5.558965026100000273e+01,-2.765957661799999912e+01
