freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-7.249348614800000234e+01,-7.392236805199999594e+01,-6.893363546300000166e+01,-7.388756879400000344e+01,-7.554497331899999324e+01
3.001001001000000099e-02,-7.941296249900000248e+01,-7.476661288799999738e+01,-7.469110449100000437e+01,-8.355581575700000485e+01,-7.712406818899999905e+01
5.002002002000000003e-02,-8.340705175799999438e+01,-9.432862068999999394e+01,-8.646841625499999395e+01,-8.835191271099999710e+01,-7.895285970199999781e+01
7.003003002999999560e-02,-9.930150906100000441e+01,-9.880837130999999829e+01,-8.034098877200000288e+01,-8.059977684899999417e+01,-7.836222058900000320e+01
9.004004004000000505e-02,-8.912387478099999782e+01,-8.498415135000000475e+01,-8.621405444900000248e+01,-8.115582829199999537e+01,-8.472355742199999895e+01
1.100500500500000006e-01,-7.853929254199999832e+01,-8.084429270399999723e+01,-8.211164737599999341e+01,-8.153036683300000220e+01,-7.522691574099999912e+01
1.300600600600000101e-01,-8.256513570600000662e+01,-7.320407224400000246e+01,-8.161520332400000655e+01,-8.285844564900000364e+01,-7.749702489300000252e+01
1.500700700700000056e-01,-8.347240469499999449e+01,-7.809373835300000621e+01,-8.483382208000000446e+01,-9.401221147500000086e+01,-8.425502507699999910e+01
1.700800800800000012e-01,-7.826719486000000359e+01,-7.934548516099999915e+01,-8.130862009800000578e+01,-7.865828194300000575e+01,-7.849616552499999500e+01
1.900900900899999968e-01,-7.457122881200000108e+01,-8.445164945300000170e+01,-8.211229542799999592e+01,-8.293017431299999487e+01,-8.148153214100000241e+01
2.101001000999999924e-01,-7.639658591100000251e+01,-7.607667701299999408e+01,-7.655711028400000373e+01,-8.129410674599999709e+01,-7.603170345099999849e+01
2.301101101100000157e-01,-8.440663496000000521e+01,-8.120353254699999468e+01,-7.574835066999999356e+01,-7.439229895299999384e+01,-8.068080569200000696e+01
2.501201201200000113e-01,-7.676289639200000181e+01,-7.996814747599999862e+01,-8.182015428600000462e+01,-8.378170937900000581e+01,-7.391110989199999892e+01
2.701301301299999791e-01,-7.878571588399999825e+01,-7.845384968899999478e+01,-8.560673094400000593e+01,-7.880364796700000340e+01,-7.739813504399999999e+01
2.901401401400000024e-01,-7.451178965699999424e+01,-7.630496489799999438e+01,-8.268803986700000053e+01,-7.890065247100000079e+01,-8.644369256599999574e+01
