freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-7.528575397900000610e+01,-6.922820294900000704e+01,-6.929206412099999568e+01,-7.169103062499999623e+01,-8.461506927700000347e+01
3.001001001000000099e-02,-7.441052622600000177e+01,-7.410158959100000686e+01,-7.707809876999999688e+01,-7.608854526800000428e+01,-7.598094075900000632e+01
5.002002002000000003e-02,-8.892370694599999581e+01,-8.797829992699999480e+01,-8.164512808400000665e+01,-7.572961803600000508e+01,-8.347220324600000652e+01
7.003003002999999560e-02,-8.317906489199999953e+01,-7.342517946300000631e+01,-8.248927283499999419e+01,-8.413156718899999476e+01,-8.645346322899999336e+01
9.004004004000000505e-02,-8.439835898799999825e+01,-8.199594979299999409e+01,-8.712899105200000349e+01,-7.622103937800000040e+01,-8.703558681100000172e+01
1.100500500500000006e-01,-8.386949222500000189e+01,-8.573557348200000661e+01,-8.554770217799999443e+01,-7.717155816899999365e+01,-8.001889463099999489e+01
1.300600600600000101e-01,-7.614466191900000069e+01,-7.670598728500000618e+01,-7.775678741500000513e+01,-8.192249033500000621e+01,-7.748862772699999368e+01
1.500700700700000056e-01,-8.217630887800000039e+01,-1.012651630900000015e+02,-7.968472108000000276e+01,-7.564494882600000381e+01,-8.007731400999999494e+01
1.700800800800000012e-01,-9.153530185500000016e+01,-7.961505238499999848e+01,-8.437093252900000095e+01,-8.184332452699999294e+01,-7.930251702799999691e+01
1.900900900899999968e-01,-7.455584056799999360e+01,-8.220465588499999399e+01,-8.133680563199999369e+01,-9.643441465700000492e+01,-7.383339888999999800e+01
2.101001000999999924e-01,-8.231581309599999940e+01,-8.525902474199999403e+01,-8.117739037399999802e+01,-9.187579577399999664e+01,-7.963825179100000184e+01
2.301101101100000157e-01,-7.597884833000000526e+01,-7.799026143400000421e+01,-9.547638527200000169e+01,-8.614075235900000393e+01,-7.722388264600000696e+01
2.501201201200000113e-01,-7.533374744900000053e+01,-9.625985005900000147e+01,-7.381627690300000211e+01,-8.627235585799999740e+01,-7.543538260299999365e+01
2.701301301299999791e-01,-8.133325124899999992e+01,-8.395116017499999828e+01,-7.656615509899999950e+01,-7.776471006699999577e+01,-8.111825426000000050e+01
2.901401401400000024e-01,-9.279875708299999815e+01,-7.727291475799999887e+01,-7.644657171000000062e+01,-8.306957452700000033e+01,-8.316067911999999751e+01
