freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-7.350839547500000037e+01,-8.031364415299999848e+01,-7.401232471999999518e+01,-7.437113863099999378e+01,-7.249206543200000397e+01
3.001001001000000099e-02,-9.162912144499999556e+01,-8.994322823900000685e+01,-8.347318512799999723e+01,-7.511230925499999955e+01,-7.487090754999999831e+01
5.002002002000000003e-02,-8.573637507700000526e+01,-9.396686075700000629e+01,-8.151233148800000095e+01,-8.315046824499999900e+01,-8.676544911199999888e+01
7.003003002999999560e-02,-7.628649841099999662e+01,-8.086982294400000626e+01,-7.860609380799999713e+01,-7.500138092599999595e+01,-8.221914396200000397e+01
9.004004004000000505e-02,-9.056770201199999804e+01,-7.969375601999999503e+01,-7.867162767899999665e+01,-8.487490612499999543e+01,-8.621100718799999640e+01
1.100500500500000006e-01,-8.649167797299999449e+01,-8.116541344099999833e+01,-8.575273815900000329e+01,-7.649010250700000313e+01,-8.531428957200000696e+01
1.300600600600000101e-01,-7.682432749999999544e+01,-7.513624223600000107e+01,-8.607287248299999760e+01,-7.444666823100000386e+01,-8.663939050499999439e+01
1.500700700700000056e-01,-8.193578468500000156e+01,-8.748178866300000323e+01,-7.957982817799999964e+01,-8.328980660099999511e+01,-9.487056633800000327e+01
1.700800800800000012e-01,-8.490579132000000584e+01,-7.742185849800000597e+01,-7.907920552000000214e+01,-7.549325168400000052e+01,-7.742955723100000398e+01
1.900900900899999968e-01,-8.725718455000000517e+01,-9.829086424800000543e+01,-7.748402376399999980e+01,-8.341857034500000623e+01,-8.340521918400000345e+01
2.101001000999999924e-01,-7.458874233999999603e+01,-8.315473631599999749e+01,-8.167578106899999568e+01,-8.261664328899999532e+01,-7.854890076499999907e+01
2.301101101100000157e-01,-8.620097626499999421e+01,-7.684535326600000360e+01,-8.078004226199999493e+01,-7.899739116700000352e+01,-7.774579172200000698e+01
2.501201201200000113e-01,-9.274778148100000408e+01,-7.566720962099999781e+01,-8.021618589099999497e+01,-7.715744172399999457e+01,-7.997566733899999747e+01
2.701301301299999791e-01,-7.747980912500000272e+01,-9.823881822900000316e+01,-8.223794468900000254e+01,-8.032063516099999845e+01,-7.347421498299999598e+01
2.901401401400000024e-01,-7.561089267100000200e+01,-7.701182137600000033e+01,-7.743623361199999522e+01,-8.584759953100000018e+01,-7.660076248000000021e+01
3.101501501499999702e-01,-7.472059195200000659e+01,-8.753159864600000617e+01,-7.384124042700000246e+01,-7.521657494800000165e+01,-8.425705669699999589e+01
3.301601601600000491e-01,-7.520901408699999990e+01,-7.849564660100000424e+01,-7.193580086199999357e+01,-7.403355965800000149e+01,-9.368576025000000129e+01
