freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-8.220996378700000662e+01,-7.609530232400000216e+01,-7.384061912299999619e+01,-7.951742845699999407e+01,-7.678473566899999980e+01
3.001001001000000099e-02,-8.319871220299999948e+01,-8.278429322399999535e+01,-7.865784329000000241e+01,-7.432111572300000546e+01,-7.449994092800000089e+01
5.002002002000000003e-02,-8.017981341600000178e+01,-7.325546405199999356e+01,-9.127181686500000524e+01,-8.054807533299999989e+01,-8.768300879299999906e+01
7.003003002999999560e-02,-8.139478945700000168e+01,-8.471933575900000335e+01,-8.717169961700000158e+01,-8.206240768499999660e+01,-7.984424040599999728e+01
9.004004004000000505e-02,-8.027753002299999707e+01,-8.231104068300000165e+01,-8.482370634400000142e+01,-7.519487427699999671e+01,-7.794208073999999442e+01
1.100500500500000006e-01,-7.912077931299999989e+01,-8.744071458199999825e+01,-8.020367998599999737e+01,-8.241465543600000387e+01,-7.625218313999999964e+01
1.300600600600000101e-01,-8.182606415899999774e+01,-7.522647598599999696e+01,-7.822429296200000692e+01,-7.914362068399999828e+01,-8.892844527699999446e+01
1.500700700700000056e-01,-8.159697431600000073e+01,-7.520201237599999899e+01,-8.604168734300000665e+01,-8.796958234699999934e+01,-8.214233233000000212e+01
1.700800800800000012e-01,-7.802201445000000035e+01,-9.880394042599999693e+01,-7.908249785099999940e+01,-7.873261987399999384e+01,-9.860048792000000617e+01
1.900900900899999968e-01,-7.443613779999999736e+01,-8.218511461299999610e+01,-7.688990065599999468e+01,-8.559027015600000254e+01,-7.759735788800000478e+01
2.101001000999999924e-01,-7.622620547500000043e+01,-8.341364601499999765e+01,-9.595618713300000024e+01,-8.236016353799999479e+01,-7.691451541399999314e+01
2.301101101100000157e-01,-8.453487578700000427e+01,-8.144917441500000166e+01,-8.673811269899999843e+01,-7.854136221999999634e+01,-7.897533826800000156e+01
2.501201201200000113e-01,-8.089954643500000486e+01,-7.835288978600000576e+01,-8.382595836299999803e+01,-8.201919085999999481e+01,-8.515642016500000011e+01
2.701301301299999791e-01,-7.897265871199999765e+01,-7.714854498500000091e+01,-7.896863226499999655e+01,-7.796826275700000508e+01,-7.927628378699999701e+01
2.901401401400000024e-01,-7.505873261799999341e+01,-8.710815315600000019e+01,-8.267580996099999879e+01,-8.909520597799999564e+01,-8.042602717699999459e+01
3.101501501499999702e-01,-8.308459446199999832e+01,-8.391226796099999774e+01,-8.591092796200000237e+01,-8.399709011800000269e+01,-9.103645207900000003e+01
3.301601601600000491e-01,-8.065517562700000553e+01,-8.599167042599999888e+01,-8.274218277999999316e+01,-8.108728238099999430e+01,-8.109571118700000625e+01
3.501701701700000169e-01,-7.666056614000000025e+01,-8.568305191199999626e+01,-8.600533849900000405e+01,-7.866769434600000466e+01,-7.665569055999999648e+01
3.701801801799999847e-01,-7.375820558499999891e+01,-8.048499024800000257e+01,-7.652029345299999363e+01,-7.900831266199999448e+01,-7.743297058199999583e+01
3.901901901900000080e-01,-8.519321682599999690e+01,-7.972545900500000471e+01,-7.091112891400000251e+01,-8.126818727799999920e+01,-7.528264903000000174e+01
4.102002001999999758e-01,-7.261868544700000427e+01,-6.868545886299999381e+01,-7.238838852700000359e+01,-8.714647223800000120e+01,-7.614339830800000186e+01
4.302102102099999992e-01,-7.662525765600000227e+01,-7.471989453599999820e+01,-7.127947180600000365e+01,-8.375340693100000067e+01,-8.255727549899999929e+01
4.502202202200000225e-01,-7.774924010099999805e+01,-7.990781093299999327e+01,-7.622119481699999710e+01,-7.163337999499999853e+01,-8.862496235899999419e+01
4.702302302300000458e-01,-6.838022806499999717e+01,-7.434055094999999369e+01,-7.809575947300000109e+01,-8.300884790899999643e+01,-7.823756223300000556e+01
4.902402402400000136e-01,-8.314243185300000505e+01,-7.404556292399999506e+01,-7.071346150700000521e+01,-7.436741611200000079e+01,-6.893211469700000293e+01
5.102502502500000370e-01,-8.202095818300000474e+01,-7.598657625600000642e+01,-7.132862358299999528e+01,-8.037200487200000509e+01,-7.877469273299999486e+01
5.302602602599999493e-01,-7.410610268000000644e+01,-9.793531454600000075e+01,-6.622148622599999612e+01,-7.151354936799999962e+01,-7.306035009599999341e+01
5.502702702699999726e-01,-8.137280666200000212e+01,-7.331252290599999810e+01,-6.747124545200000512e+01,-7.497432837600000255e+01,-7.323028182000000186e+01
5.702802802799999959e-01,-7.211678799999999967e+01,-7.641068310299999666e+01,-6.311149492999999921e+01,-9.068759133499999336e+01,-6.374556888099999696e+01
5.902902902899999082e-01,-7.150753461600000094e+01,-7.194318242699999644e+01,-6.115579480699999948e+01,-7.273207203500000162e+01,-5.994000632800000261e+01
6.103003002999999316e-01,-7.330044046899999444e+01,-7.348135048700000027e+01,-5.954829523699999783e+01,-8.515085443300000634e+01,-5.949486309299999931e+01
6.303103103099999549e-01,-6.983141384399999652e+01,-8.151418821599999376e+01,-5.723808902300000057e+01,-6.573436515199999519e+01,-5.778546135199999867e+01
6.503203203200000893e-01,-7.097897474500000214e+01,-7.037841016100000502e+01,-5.389633631200000252e+01,-7.336472033399999759e+01,-5.579573813900000090e+01
6.703303303300000016e-01,-6.075054976999999923e+01,-6.593645447999999476e+01,-5.288938560100000075e+01,-8.725617129500000146e+01,-5.312122715800000350e+01
6.903403403400000249e-01,-5.896481456499999751e+01,-6.135737747900000016e+01,-5.105074988399999825e+01,-7.145496941400000424e+01,-4.996405068899999691e+01
7.103503503500000482e-01,-5.598346349999999916e+01,-6.329179811299999869e+01,-5.097166228599999727e+01,-7.023166571599999486e+01,-4.977522977099999935e+01
7.303603603599999605e-01,-5.615199519499999781e+01,-5.828228207600000133e+01,-5.044744926300000287e+01,-6.549707559799999501e+01,-4.720682170999999983e+01
7.503703703699999839e-01,-5.623601120699999711e+01,-5.809349545799999959e+01,-5.062247545700000018e+01,-6.429697058499999684e+01,-4.609970288099999891e+01
7.703803803800000072e-01,-5.591255431599999781e+01,-6.022655197699999974e+01,-5.005152400099999710e+01,-7.157598975000000507e+01,-4.605609796499999931e+01
7.903903903900000305e-01,-5.522690208899999931e+01,-5.917769277299999686e+01,-4.816466007300000030e+01,-6.374576823200000320e+01,-4.516534603400000236e+01
8.104004003999999428e-01,-5.375617221000000256e+01,-5.908237051399999729e+01,-4.781506393400000121e+01,-6.571731287699999768e+01,-4.447703859599999987e+01
8.304104104099999661e-01,-5.355363447799999932e+01,-6.379664692299999729e+01,-4.858202136700000295e+01,-6.386056623500000029e+01,-4.413036235599999912e+01
8.504204204199999895e-01,-5.225752345800000143e+01,-5.612896900199999806e+01,-4.874467162999999914e+01,-6.142797931100000142e+01,-4.418907555999999914e+01
8.704304304299999018e-01,-5.152477117000000106e+01,-5.269585018499999762e+01,-4.877038720600000232e+01,-6.336723270000000241e+01,-4.315247721499999756e+01
8.904404404400000361e-01,-5.317484091000000035e+01,-5.418683909699999646e+01,-4.712726785299999932e+01,-6.120901209699999868e+01,-4.234667001100000050e+01
9.104504504500000595e-01,-5.290484244900000022e+01,-5.517838237000000134e+01,-4.771963280700000354e+01,-5.762326087800000352e+01,-4.248348539199999863e+01
9.304604604600000828e-01,-5.364455361600000316e+01,-5.345569079300000226e+01,-4.733254238199999975e+01,-5.818476250700000207e+01,-4.242396050100000338e+01
9.504704704699999951e-01,-5.637157972699999675e+01,-5.460964666200000295e+01,-4.741451889700000066e+01,-5.804368497600000154e+01,-4.265442575600000197e+01
9.704804804800000184e-01,-5.552574701099999999e+01,-5.495287130599999870e+01,-4.694886366400000099e+01,-5.817181003599999656e+01,-4.363253019999999793e+01
9.904904904900000417e-01,-5.339289068000000071e+01,-5.885577608900000257e+01,-4.769455238799999819e+01,-6.303105477700000137e+01,-4.416257972199999671e+01
1.010500500500000065e+00,-5.585424808100000149e+01,-6.312006586100000050e+01,-4.796917562000000146e+01,-6.353163892300000271e+01,-4.445085619599999660e+01
1.030510510500000088e+00,-5.856346830599999720e+01,-6.426232722000000308e+01,-4.737687221899999912e+01,-5.959511686599999791e+01,-4.481465426100000116e+01
1.050520520500000110e+00,-5.845678288199999884e+01,-6.659472864200000686e+01,-4.766991157900000076e+01,-6.244090872600000353e+01,-4.505494778900000341e+01
1.070530530499999911e+00,-5.894041301899999752e+01,-6.113614583599999719e+01,-4.794094144799999668e+01,-5.865451877999999653e+01,-4.535515407599999804e+01
1.090540540499999933e+00,-5.933984143200000005e+01,-6.079436732100000285e+01,-4.853870648400000221e+01,-5.763703966700000336e+01,-4.497584908000000326e+01
1.110550550599999964e+00,-6.063425779300000329e+01,-6.178223334500000163e+01,-4.846682245600000272e+01,-6.243122498900000039e+01,-4.411824322799999720e+01
1.130560560599999986e+00,-6.379798696900000010e+01,-6.257911855799999756e+01,-4.814811412800000312e+01,-6.536151532300000611e+01,-4.359582265200000251e+01
1.150570570600000009e+00,-6.378402570800000149e+01,-6.450536584399999640e+01,-4.755316114699999730e+01,-6.754530722100000162e+01,-4.304737406800000343e+01
1.170580580599999809e+00,-5.887212772400000205e+01,-6.314219072299999880e+01,-4.775615631699999852e+01,-6.966814723800000309e+01,-4.208308226399999796e+01
1.190590590599999832e+00,-7.518819597300000623e+01,-7.039959553900000344e+01,-4.612924222800000251e+01,-6.339827654900000198e+01,-4.221023378400000325e+01
1.210600600599999854e+00,-7.671232132299999762e+01,-6.568480953099999908e+01,-4.543185144800000330e+01,-6.492592774300000258e+01,-4.233893182599999960e+01
1.230610610599999877e+00,-6.747203638499999556e+01,-6.276864162399999714e+01,-4.455642867299999921e+01,-6.549879551700000491e+01,-4.164556124300000306e+01
1.250620620599999899e+00,-7.222738363400000594e+01,-6.811584251200000040e+01,-4.397115583499999758e+01,-6.736752885699999638e+01,-4.139340554700000041e+01
1.270630630599999922e+00,-6.216928098700000049e+01,-6.510993210399999498e+01,-4.346197413699999856e+01,-6.771843330500000491e+01,-4.065002447799999885e+01
