freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-7.202730060599999717e+01,-7.657760096100000169e+01,-7.549762655899999686e+01,-7.440497361299999568e+01,-7.532545701099999746e+01
3.001001001000000099e-02,-7.440226769299999887e+01,-7.926818647899999348e+01,-7.775885304099999473e+01,-8.499062487000000488e+01,-8.183061168700000110e+01
5.002002002000000003e-02,-8.213839947900000027e+01,-8.362453549599999292e+01,-8.369942695999999671e+01,-8.563909227800000679e+01,-7.625788604400000281e+01
7.003003002999999560e-02,-7.832230556300000046e+01,-8.025982389300000364e+01,-7.838353577799999528e+01,-8.289495602600000268e+01,-7.848583356299999991e+01
9.004004004000000505e-02,-7.856712880899999618e+01,-8.912481621599999926e+01,-8.146267098200000589e+01,-8.808556510200000389e+01,-7.516217602000000397e+01
1.100500500500000006e-01,-7.793566933300000699e+01,-7.392144233499999473e+01,-7.528682955499999707e+01,-8.767389229900000203e+01,-7.613697390900000528e+01
1.300600600600000101e-01,-8.874206494199999895e+01,-8.462400748100000669e+01,-8.087560863599999550e+01,-8.951478187799999375e+01,-8.304723616100000072e+01
1.500700700700000056e-01,-7.965033775499999535e+01,-7.943348735300000385e+01,-8.838333393400000659e+01,-8.312151186100000189e+01,-7.559941054700000507e+01
1.700800800800000012e-01,-9.352192304000000433e+01,-7.443784290899999689e+01,-8.574301046799999426e+01,-8.260316783499999360e+01,-7.566055930000000274e+01
1.900900900899999968e-01,-7.991746286199999361e+01,-8.602281900900000267e+01,-7.850165319900000327e+01,-7.746764199999999789e+01,-7.385580797100000439e+01
2.101001000999999924e-01,-8.780825079599999583e+01,-7.697779641799999695e+01,-8.017123882100000287e+01,-9.739933381500000564e+01,-8.795049625000000049e+01
2.301101101100000157e-01,-7.898204395599999827e+01,-8.631999048699999832e+01,-7.339927981799999657e+01,-7.828439652500000534e+01,-7.831682859299999677e+01
2.501201201200000113e-01,-8.157446250799999632e+01,-8.035715402200000312e+01,-7.848632519000000229e+01,-7.467139162200000158e+01,-8.608486810399999456e+01
2.701301301299999791e-01,-8.989350941399999328e+01,-7.382164625400000091e+01,-7.716083758499999590e+01,-7.606845486400000311e+01,-7.717835724900000116e+01
2.901401401400000024e-01,-7.588155412199999716e+01,-8.580885563799999716e+01,-7.790000716800000191e+01,-8.229196736199999407e+01,-7.854617162099999916e+01
3.101501501499999702e-01,-8.910553676499999654e+01,-8.538970779699999980e+01,-8.449799714499999936e+01,-9.204224763700000267e+01,-8.028550616399999740e+01
3.301601601600000491e-01,-7.571137006600000063e+01,-7.256806283999999607e+01,-8.562079724000000169e+01,-8.245008146899999701e+01,-7.703803484700000581e+01
3.501701701700000169e-01,-8.078513925299999698e+01,-8.031668886399999963e+01,-7.350448727900000279e+01,-8.726948485900000207e+01,-7.710541004200000259e+01
3.701801801799999847e-01,-8.430904560700000161e+01,-7.826977255799999966e+01,-7.851785165799999788e+01,-8.347168100400000412e+01,-8.109931704199999558e+01
3.901901901900000080e-01,-7.914329388400000198e+01,-7.542311986100000354e+01,-7.659451806399999896e+01,-8.230609374799999500e+01,-7.227862795699999765e+01
4.102002001999999758e-01,-8.138720872199999690e+01,-7.422681776899999306e+01,-7.143294787899999676e+01,-7.852503074099999480e+01,-7.433643998200000169e+01
4.302102102099999992e-01,-7.115573210899999879e+01,-8.285775177300000394e+01,-8.302084899099999404e+01,-7.880070884399999898e+01,-7.728578667300000404e+01
4.502202202200000225e-01,-8.222019943799999453e+01,-7.387823950400000683e+01,-8.415610586600000431e+01,-8.415762744500000281e+01,-7.459651655099999346e+01
4.702302302300000458e-01,-7.616211908900000083e+01,-8.350158161900000664e+01,-7.482311805099999447e+01,-7.842972735200000045e+01,-7.645999111899999434e+01
4.902402402400000136e-01,-8.250691881100000558e+01,-8.924755401400000210e+01,-7.675627442500000086e+01,-7.481430463799999586e+01,-7.294269495300000017e+01
