freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-7.600408708300000171e+01,-8.269347056099999804e+01,-7.121401227500000175e+01,-7.245406689499999686e+01,-7.901942721999999719e+01
3.001001001000000099e-02,-7.542912183599999310e+01,-7.676412299300000086e+01,-7.615640132299999721e+01,-7.481807777299999884e+01,-7.834236781500000291e+01
5.002002002000000003e-02,-8.072999867999999424e+01,-9.893125317599999846e+01,-7.654484725300000036e+01,-8.964323569600000496e+01,-7.745069586500000014e+01
7.003003002999999560e-02,-7.820379689799999312e+01,-7.812207912099999874e+01,-8.332193009899999936e+01,-7.428813907299999642e+01,-7.921748874099999682e+01
9.004004004000000505e-02,-9.146474234199999387e+01,-8.422856559699999934e+01,-8.172207523900000581e+01,-9.131791446699999426e+01,-8.534386589300000026e+01
1.100500500500000006e-01,-7.473336026100000140e+01,-7.759473638299999720e+01,-7.836995444900000507e+01,-8.379431925400000125e+01,-8.150147895700000333e+01
1.300600600600000101e-01,-8.064273565199999894e+01,-8.685243214499999453e+01,-8.027072659899999962e+01,-7.744228247799999565e+01,-8.584398816099999863e+01
1.500700700700000056e-01,-7.861765891599999634e+01,-8.280979583100000241e+01,-8.142348167800000169e+01,-8.035547800400000540e+01,-8.237752418499999862e+01
1.700800800800000012e-01,-8.106746128499999315e+01,-8.069128974400000232e+01,-7.878452889999999798e+01,-7.876349327600000549e+01,-7.591138870400000371e+01
1.900900900899999968e-01,-7.594630738399999359e+01,-8.686434076300000129e+01,-8.696221626599999865e+01,-7.404705918099999451e+01,-7.575704877900000156e+01
2.101001000999999924e-01,-7.587578759999999534e+01,-7.751968209100000706e+01,-8.156902417099999525e+01,-7.601160281299999610e+01,-9.074850387399999363e+01
2.301101101100000157e-01,-8.287259087299999294e+01,-7.600916364600000463e+01,-7.347643873600000575e+01,-8.145154263899999592e+01,-8.002263011899999867e+01
2.501201201200000113e-01,-7.948854859499999748e+01,-7.545286707900000067e+01,-7.710137107699999603e+01,-7.780468976500000622e+01,-8.018607205200000010e+01
2.701301301299999791e-01,-8.210900967899999614e+01,-8.037820700499999305e+01,-7.814167475399999319e+01,-8.655074123100000349e+01,-8.019587366700000075e+01
2.901401401400000024e-01,-7.866831154199999787e+01,-7.146262464800000203e+01,-7.886378434300000606e+01,-8.402737009099999455e+01,-8.644677563999999848e+01
3.101501501499999702e-01,-8.057898801499999308e+01,-7.886703366700000117e+01,-7.888449637200000097e+01,-7.939025738200000148e+01,-8.162625407400000199e+01
3.301601601600000491e-01,-7.731145139000000199e+01,-8.161291442899999993e+01,-7.970462266600000589e+01,-7.672404503200000647e+01,-7.667365214100000514e+01
3.501701701700000169e-01,-7.556048352099999477e+01,-7.890441898900000695e+01,-7.915413319600000364e+01,-7.657174517100000344e+01,-7.620359105699999702e+01
3.701801801799999847e-01,-8.198346187299999599e+01,-7.606166690899999594e+01,-7.419750565299999323e+01,-7.782374052100000483e+01,-7.638101004000000671e+01
3.901901901900000080e-01,-8.285256549800000414e+01,-8.221345305799999892e+01,-7.376208538599999542e+01,-7.706229088499999591e+01,-7.938293292800000245e+01
4.102002001999999758e-01,-7.846679270399999950e+01,-7.202806600799999615e+01,-7.066524642699999958e+01,-7.551497853099999702e+01,-7.552363074199999460e+01
