freq_GHz,S21_dB,S31_dB,S41_dB,S51_dB,S61_dB
1.000000000000000021e-02,-6.968713516699999388e+01,-6.864278668999999411e+01,-8.596176089700000489e+01,-7.458831377100000282e+01,-7.378064510699999801e+01
3.001001001000000099e-02,-7.815343873400000518e+01,-7.884492236399999854e+01,-8.927988198699999600e+01,-7.538537008299999798e+01,-7.382243168799999467e+01
5.002002002000000003e-02,-8.317555261500000086e+01,-8.828719057499999678e+01,-9.198809938399999453e+01,-8.752584250099999963e+01,-8.343099311899999293e+01
7.003003002999999560e-02,-8.749129545099999916e+01,-7.933311056799999506e+01,-7.999324181900000497e+01,-8.556537332099999560e+01,-7.850701072299999339e+01
9.004004004000000505e-02,-8.299779359900000486e+01,-8.554051910699999439e+01,-8.651897775400000512e+01,-7.870835207899999375e+01,-9.187655349700000329e+01
1.100500500500000006e-01,-7.621385513600000650e+01,-8.631128529000000071e+01,-7.759108405199999936e+01,-8.484073334699999691e+01,-7.793784042400000089e+01
1.300600600600000101e-01,-7.694952624200000457e+01,-7.707935812200000214e+01,-7.419134766999999897e+01,-8.434276135599999691e+01,-9.106441725000000531e+01
1.500700700700000056e-01,-8.240988970200000097e+01,-8.184608193100000051e+01,-7.544137629099999742e+01,-1.055165977999999996e+02,-8.185067557899999713e+01
1.700800800800000012e-01,-8.230913268499999447e+01,-7.195802584700000182e+01,-7.686934014899999568e+01,-7.470101989699999478e+01,-7.636275381900000525e+01
1.900900900899999968e-01,-7.713756829099999379e+01,-7.829486868099999697e+01,-7.490479483699999719e+01,-7.754749336999999798e+01,-7.668146519500000124e+01
2.101001000999999924e-01,-8.126533766900000444e+01,-9.459659675499999310e+01,-8.295933610699999861e+01,-8.207542037899999343e+01,-7.350923033799999473e+01
2.301101101100000157e-01,-8.496464054099999430e+01,-9.071522865299999694e+01,-8.288295222300000376e+01,-8.006087652099999730e+01,-8.329356241700000396e+01
2.501201201200000113e-01,-7.358454620099999488e+01,-7.529590015300000516e+01,-8.105949045399999875e+01,-7.897467668000000174e+01,-7.652621956900000555e+01
2.701301301299999791e-01,-7.843253903500000490e+01,-8.521906876900000327e+01,-7.413862247999999511e+01,-7.458772512100000540e+01,-8.607397679599999663e+01
2.901401401400000024e-01,-8.396941961599999615e+01,-8.079575316499999360e+01,-7.722045544899999925e+01,-8.546128620300000023e+01,-7.717057754799999714e+01
3.101501501499999702e-01,-7.253478926299999330e+01,-9.453928841299999419e+01,-8.277039245699999981e+01,-7.225043957100000114e+01,-8.389137300400000186e+01
3.301601601600000491e-01,-7.677704339599999628e+01,-8.203390390100000218e+01,-8.329831498699999770e+01,-9.064899627900000212e+01,-7.622734295799999416e+01
3.501701701700000169e-01,-7.713875332300000309e+01,-7.409024196500000414e+01,-8.427539207099999885e+01,-7.769560549800000615e+01,-7.101622729700000036e+01
3.701801801799999847e-01,-7.888684145899999578e+01,-8.203720744000000309e+01,-7.963237927900000557e+01,-7.791458783199999516e+01,-7.276901899700000342e+01
3.901901901900000080e-01,-7.554103061300000377e+01,-7.820887344499999472e+01,-7.409835160900000517e+01,-7.622032030399999769e+01,-7.097615928099999394e+01
4.102002001999999758e-01,-7.530563721699999746e+01,-7.458483886199999802e+01,-7.750113434099999665e+01,-7.825848558299999524e+01,-7.537342118200000129e+01
4.302102102099999992e-01,-7.562525480499999730e+01,-6.935699924899999758e+01,-6.931424643699999422e+01,-8.284643601099999444e+01,-8.045175467100000333e+01
4.502202202200000225e-01,-7.551494582099999775e+01,-8.761665585699999781e+01,-7.561585079500000006e+01,-7.646068816999999740e+01,-7.679400052699999435e+01
4.702302302300000458e-01,-7.410006319800000085e+01,-7.807982036299999606e+01,-7.984179208000000472e+01,-7.459942703000000108e+01,-7.287574507899999787e+01
4.902402402400000136e-01,-6.820247485400000187e+01,-9.539413486799999475e+01,-7.822233611800000119e+01,-7.375312855299999626e+01,-8.509038060499999290e+01
5.102502502500000370e-01,-8.275237780800000564e+01,-7.316997234800000172e+01,-7.054814637100000141e+01,-7.623059845900000653e+01,-6.591048922199999538e+01
5.302602602599999493e-01,-7.686196216199999753e+01,-8.386713102999999592e+01,-7.178749648900000579e+01,-7.275898468399999786e+01,-6.462123161499999924e+01
5.502702702699999726e-01,-7.173266436800000179e+01,-7.149944555499999410e+01,-6.376164812999999754e+01,-7.656440094799999940e+01,-6.467598288099999593e+01
5.702802802799999959e-01,-7.529624289199999509e+01,-7.074227588899999830e+01,-6.185615249199999965e+01,-7.839697963300000083e+01,-5.855419394500000152e+01
5.902902902899999082e-01,-6.736391343100000029e+01,-7.223615706399999681e+01,-6.104557879800000109e+01,-7.099045491299999355e+01,-5.743729439999999897e+01
6.103003002999999316e-01,-6.529739968799999872e+01,-6.887086348100000066e+01,-6.021151531400000323e+01,-7.353310519999999428e+01,-5.369812372199999828e+01
6.303103103099999549e-01,-6.551773487600000578e+01,-6.902233525699999461e+01,-5.585869325400000207e+01,-6.652158945099999698e+01,-5.354646050400000235e+01
6.503203203200000893e-01,-6.599753957599999410e+01,-6.087663852000000020e+01,-5.249540883000000235e+01,-6.490438869599999805e+01,-5.084368054699999817e+01
6.703303303300000016e-01,-6.324961438199999719e+01,-6.586356733099999872e+01,-5.070294384200000337e+01,-6.292817686600000116e+01,-4.858227323399999875e+01
6.903403403400000249e-01,-5.944483651600000229e+01,-5.927844990100000189e+01,-4.950677811399999939e+01,-6.174113231700000171e+01,-4.763391192299999943e+01
7.103503503500000482e-01,-5.773765784599999762e+01,-5.591034625100000000e+01,-4.926763238899999919e+01,-6.131010419599999750e+01,-4.749239913299999927e+01
7.303603603599999605e-01,-5.562601680400000248e+01,-5.473732319300000171e+01,-4.937406461300000160e+01,-6.015920656600000171e+01,-4.636312554399999897e+01
